text,screen_name,created,favoriteCount,retweetCount,lang,location
President Hillary Clinton on her worst day would be so superior to a President Donald Trump on any day. https://t.co/LCnEDJbELT,HillaryClinton,2016-10-08,19526,6127,en,"New York, NY"
She doesn't always talk about what drives her. But I've had a chance to see her. <U+0097>@POTUS https://t.co/jNKTTF6csB,HillaryClinton,2016-10-08,11384,3728,en,"New York, NY"
Chip in to help make sure Donald Trump never becomes president: https://t.co/2FSRCLQhiS https://t.co/0HAfzKmCVd,HillaryClinton,2016-10-08,9441,3911,en,"New York, NY"
RT this if you're proud to have Hillary's back tonight. https://t.co/bw5kdfxfbw https://t.co/fcrZ3i3U4V,HillaryClinton,2016-10-09,41099,36002,en,"New York, NY"
"At tonight's debate, Janelle will be in the audience cheering on her friend, Hillary. #Debate https://t.co/wdBlj2HLAH",HillaryClinton,2016-10-09,6239,1837,en,"New York, NY"
"If you read one thing before tonight's debate, make it this: https://t.co/PjyLJnfQrG",HillaryClinton,2016-10-09,4782,2130,en,"New York, NY"
Here's what you need to know about early voting and absentee ballots: https://t.co/UESLyG1aix,HillaryClinton,2016-10-09,2297,1217,en,"New York, NY"
It's time to hold Trump accountable to the facts. Follow @TheBriefing2016 during tonight's debate to help spread the word. #Debates,HillaryClinton,2016-10-09,6430,2264,en,"New York, NY"
"Saddened by the passing of Choco Meza, a historic figure in Texas politics &amp; beloved friend on our team. My prayers<U+0085> https://t.co/2PSAuar9Qk",HillaryClinton,2016-10-09,7301,1749,en,"New York, NY"
Get all the latest updates from tonight's debate straight to your phone. #Debate https://t.co/R4HPhwxx2O,HillaryClinton,2016-10-09,2553,797,en,"New York, NY"
Targeting police officers with violence is unacceptable. My heart breaks for the loss these families have suffered.<U+0085> https://t.co/w8Qwm40NKt,HillaryClinton,2016-10-09,5933,1877,en,"New York, NY"
Hillary has earned nearly every newspaper endorsement of the general election. Here's why: https://t.co/Nl9hweC8jO,HillaryClinton,2016-10-09,6164,2094,en,"New York, NY"
"<U+0093>The choice that you make, that we make, will determine the direction of this country for a long time."" <U+0097>@POTUS:<U+0085> https://t.co/2ebwAu3XJK",HillaryClinton,2016-10-09,8770,3907,en,"New York, NY"
I strongly condemn today's attack in Jerusalem and my prayers go to the victims' families. The terrorists must be brought to justice. -H,HillaryClinton,2016-10-09,13648,3647,en,"New York, NY"
Just 29 days left until Election Day. Join Hillary for her first stop since last night's debate <U+2192> https://t.co/Tixbe3rsFN,HillaryClinton,2016-10-10,4601,959,en,"New York, NY"
"If Trump wants to make America great again, he should start by buying American steel for his construction projects.",HillaryClinton,2016-10-10,3960,1360,en,"New York, NY"
"Tonight, Trump dismissed his comments about groping women as ""locker room talk.""But words matter. https://t.co/u4wo2Leyol",HillaryClinton,2016-10-10,14436,4864,en,"New York, NY"
"If Hillary tried to fact-check Donald in real time, she wouldn't have time for anything else. So, here: https://t.co/NLPH8sbAGn #debate",HillaryClinton,2016-10-10,6919,4275,en,"New York, NY"
"Only one candidate on the ballot Nov. 8 belongs anywhere near the White House, and it<U+0092>s Hillary. <U+0097>@BostonGlobe https://t.co/oQs70AlmQq",HillaryClinton,2016-10-10,10479,3232,en,"New York, NY"
The same guy who probably didn't pay federal taxes for 18 years is OK raising taxes on millions in the middle-class. Sound right to you?,HillaryClinton,2016-10-10,17909,7151,en,"New York, NY"
Donald Trump actually stood on a debate stage and said wages in America are too high.,HillaryClinton,2016-10-10,2815,1106,en,"New York, NY"
Trump would give millionaires (like him) and billionaires the biggest tax cuts they<U+0092>ve ever had. #Debate https://t.co/0HKJYTAdhz,HillaryClinton,2016-10-10,5511,2113,en,"New York, NY"
"""I will be a president for all of the people."" <U+0097>Donald Trump**Except women, people of color, LGBT people, Muslims... #Debate",HillaryClinton,2016-10-10,56756,32867,en,"New York, NY"
"<U+0093>I want to send a message: America is already great, but we are great because we are good.<U+0094> #Debate https://t.co/Wt3N4eF5gY",HillaryClinton,2016-10-10,7305,2706,en,"New York, NY"
If we work together<U+0097>if we overcome the divisiveness that sometimes sets Americans against one another<U+0097>there's nothing we can't do. #Debate,HillaryClinton,2016-10-10,7477,2414,en,"New York, NY"
43 times Donald Trump lied<U+0097>or was just totally wrong<U+0097>on the debate stage last night: https://t.co/yG2IVPEvpK,HillaryClinton,2016-10-10,7797,3398,en,"New York, NY"
".@ForeignPolicy has never endorsed a candidate for political office.Until now: https://t.co/UdsK7rdqAy",HillaryClinton,2016-10-10,7541,2822,en,"New York, NY"
"You are right about Islamophobia, and it's a shame. <U+0097>Donald Trump, who proposed a ban on Muslims entering the U.S. https://t.co/4xDbrBtVjt",HillaryClinton,2016-10-10,7613,4733,en,"New York, NY"
"It<U+0092>s easy to get cynical about politics, but that<U+0092>s what the other side wants you to feel.Prove them wrong: https://t.co/u72wraOmhX",HillaryClinton,2016-10-10,3103,1070,en,"New York, NY"
"Many people are saying Donald Trump doesn't have the discipline, temperament, or vision to be president. #debate",HillaryClinton,2016-10-10,13766,3962,en,"New York, NY"
Donald always takes care of Donald and people like Donald. https://t.co/sSYRYr6xrG #debate,HillaryClinton,2016-10-10,4882,2225,en,"New York, NY"
Trump has gotten one thing right about the economy. #debate https://t.co/9MZcuwwDp5,HillaryClinton,2016-10-10,9206,5409,en,"New York, NY"
"You did, in fact, say this. #debate https://t.co/WURWs6aJ5f",HillaryClinton,2016-10-10,23711,13004,en,"New York, NY"
RT this to make sure everyone you know is registered to vote: https://t.co/tTgeqxNqYm #Debate https://t.co/BKCSA2wipR,HillaryClinton,2016-10-10,11534,8503,en,"New York, NY"
"Our vision for America is a country where everyone has a place, including, of course, Muslim Americans. #Debate https://t.co/rcu3nLvpTQ",HillaryClinton,2016-10-10,6546,2284,en,"New York, NY"
"The next president could appoint up to three Supreme Court justices.Will they protect Americans' rights, or corporations'? #debate",HillaryClinton,2016-10-10,10305,3115,en,"New York, NY"
Almost every foreign policy decision [Trump] makes will raise serious conflicts of interest. <U+0097>@kurteichenwald https://t.co/rmTos7en9t,HillaryClinton,2016-10-10,3411,1552,en,"New York, NY"
Americans deserve a real plan to expand access to health care and get costs down. https://t.co/6J5vpfTxhs #debate,HillaryClinton,2016-10-10,3664,1303,en,"New York, NY"
"Trump lost last night's debate before he even took the stage, and it only got worse from there. https://t.co/GTZvkLzQRb",HillaryClinton,2016-10-10,8605,2495,en,"New York, NY"
She won. https://t.co/b8lLNPWUiM #Debate https://t.co/C4MP8cPONF,HillaryClinton,2016-10-10,49973,20629,en,"New York, NY"
Never heard of a <U+0093>blue collar worker<U+0094> losing nearly $1 billion in a year and cheating hundreds of other workers in<U+0085> https://t.co/mZlCyXs9uX,HillaryClinton,2016-10-10,17509,7094,en,"New York, NY"
"I know more about ISIS than the generals. <U+0097>Donald Trump, who clearly doesn't. #debate",HillaryClinton,2016-10-10,13971,4957,en,"New York, NY"
Donald Trump was not against the war in Iraq. #debate https://t.co/bXwhbDrVoc,HillaryClinton,2016-10-10,4936,2498,en,"New York, NY"
"<U+0093>Last night, Donald Trump spent his time attacking when he should have been apologizing.<U+0094> <U+0097>Hillary",HillaryClinton,2016-10-10,3561,1122,en,"New York, NY"
"Trump owes President Obama an apology for his years-long racist conspiracy. And by the way: ""Sorry if you were offended"" doesn't count.",HillaryClinton,2016-10-10,21844,6986,en,"New York, NY"
"The vast majority of Muslim Americans want to help fight terrorism. We are not at war with Islam.Trump is playing into terrorists' hands.",HillaryClinton,2016-10-10,16365,6946,en,"New York, NY"
"We are going to respect each other, lift each other up, and celebrate our diversity. #Debate #StrongerTogether https://t.co/M6vKxhwPWZ",HillaryClinton,2016-10-10,5238,1641,en,"New York, NY"
"If Trump stands by what he said about women as <U+0093>locker room talk,<U+0094> he's clearly not sorry. https://t.co/Uhw4795mA9",HillaryClinton,2016-10-10,25299,11758,en,"New York, NY"
"Trump: ""Health care<U+0097>why didn't she do something about it?""Here's Hillary in 1993, testifying for health care refo<U+0085> https://t.co/HGfkq4M4rp",HillaryClinton,2016-10-10,36628,17585,en,"New York, NY"
Remember. #Debate https://t.co/rlMbTt5WwY,HillaryClinton,2016-10-10,52839,25566,en,"New York, NY"
