text,favoriteCount,created,statusSource,screenName,retweetCount,location
"We need ideas, not insults. Plans, not paranoia.We can’t let @POTUS's legacy fall into the hands of someone who doesn’t understand that.",4934,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1935,"New York, NY"
"""Everyone who wants to go to college should be able to without drowning in debt."" —Hillary https://t.co/wDxspmxT9Q",4235,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1620,"New York, NY"
"You want something to vote for, not just against:Optimism, not resentment.Answers, not anger.Ideas, not insults.Bridges, not walls.",2262,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1327,"New York, NY"
"We can build a cleaner, more resilient electrical grid with enough renewable energy to power every home in the country.",1160,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,553,"New York, NY"
"When we work together, we will trump hate. https://t.co/tTgeqxNqYm",1878,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,743,"New York, NY"
"""We have got to do everything we can to make sure that Hillary Clinton is elected president."" —@BernieSanders https://t.co/t1uxcoVJT5",15732,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,7506,"New York, NY"
Barack Obama said progress is on the ballot this November. This economic data shows he’s right. https://t.co/CIoKKKIxqz,3976,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1798,"New York, NY"
"If you work hard, you should be able to find a good job that pays well and lets you do what you love and make your mark on the world.",1191,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,525,"New York, NY"
"In a democracy, if you want to help the greatest number of people, you have to push for reform from both the outside-in and the inside-out.",1451,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,588,"New York, NY"
Our next president needs to have the right temperament to meet the challenges we face. https://t.co/XMDZPtLNMB,7278,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2741,"New York, NY"
We have a Republican nominee for president who incites hatred and violence like we’ve never seen before.,2004,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,921,"New York, NY"
“I’m the only candidate in this race who’s been part of the hard decisions to take terrorists off the battlefield. —Hillary,2744,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,952,"New York, NY"
"""Like all Americans, my thoughts are with those who were wounded, their families, &amp; our first responders” —Hillary on this weekend’s attacks",6543,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1684,"New York, NY"
"When Americans get knocked down, we get right back up again. We refuse to quit—no matter what. That’s the spirit we need in this election.",1739,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,733,"New York, NY"
Be a voter. Check your registration and help your friends do the same <U+2192> https://t.co/tTgeqxNqYm https://t.co/yTAG2iT8WL,5014,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2581,"New York, NY"
"We have to stand up to this hate.We have to send a clear message: America is better than this.America is better than Donald Trump.",5328,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2320,"New York, NY"
"“What I’ve laid out is a path forward that will keep us safer...and go after the terrorists to finally destroy them"" https://t.co/tWWEMx0T9s",1562,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,559,"New York, NY"
"""Let us be vigilant, but not afraid…we choose resolve, not fear. We will not turn on each other or undermine each other.” —Hillary",2597,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1193,"New York, NY"
This election isn’t a reality TV show. It shouldn’t be about birth certificates or name-calling or stunts to get on cable news.,1444,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,706,"New York, NY"
America has never made progress by thinking one person alone can fix our problems. https://t.co/mYba5FCBrb,9054,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3457,"New York, NY"
"""Progress is on the ballot.Tolerance is on the ballot.Democracy is on the ballot.Justice is on the ballot."" https://t.co/Mmyqestken",24679,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,12920,"New York, NY"
"Grateful for our brave men and women serving in the @USAirForce and their families. Happy birthday, USAF! https://t.co/xYebpm9NaN",4628,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,1511,"New York, NY"
"Let’s make clear that love trumps hate—not just this November, but always. https://t.co/wDxspmxT9Q",4136,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1559,"New York, NY"
Find out how much Hillary's college plan will save you: https://t.co/svkSUzhwYz https://t.co/tmHf8m2CdX,1941,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,970,"New York, NY"
"We're facing a candidate with a history of discrimination in his businesses, who retweets white supremacists, and led the birther movement.",2544,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1335,"New York, NY"
"It’s wrong to tear each other down.It’s wrong to let income inequality get worse.It’s wrong to put a loose cannon in charge.",1349,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,660,"New York, NY"
"""The lesson she passed on to me was simple but powerful: No one gets through life alone."" —Hillary on her mom https://t.co/gzNvfNPeNu",4479,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1601,"New York, NY"
"Congratulations on your Emmy, Kate! Big fan of yours, too. https://t.co/w00QO1GwyH",50136,19-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,14523,"New York, NY"
"Simply caring is not enough. To drive real progress, you have to change both hearts and laws. https://t.co/oZIm2is1lX",1483,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,791,"New York, NY"
College should be tuition-free for working families and debt-free for everyone: https://t.co/lkOFcHI4Py,1117,19-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,513,"New York, NY"
It's time to tell @WellsFargo that Wall Street works for Main Street—not the other way around. https://t.co/mYuTS4qgF4,3135,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1210,"New York, NY"
Nobody in America should have to forgo a higher education because they can't afford it. https://t.co/DhSlyM6ILQ,9034,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3153,"New York, NY"
"""You can leave this ad muted—there's nothing to hear."" —@NyleDiMarcohttps://t.co/tTgeqxNqYm https://t.co/QOqcWnw7OJ",12195,20-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6570,"New York, NY"
Catch @FallonTonight at 11:35pm ET to see letters from some of Hillary's biggest fans. https://t.co/muVNwgLSRs,6016,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1622,"New York, NY"
Donald Trump is using his foundation—funded by other people's money—to settle lawsuits. https://t.co/2LRtZBls9A,5461,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3920,"New York, NY"
"""You want to give me a good send-off? Go vote.” —Barack Obama: https://t.co/tTgeqxNqYm https://t.co/Jqf2jmx3D0",11559,20-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,5891,"New York, NY"
"Help get out the vote for Hillary (plus, get a free sticker when you sign up!): https://t.co/v4rISVHYuG",1699,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,702,"New York, NY"
Donald hasn't given his own money to the Trump Foundation since 2008—but it's still paying his bills. https://t.co/2LRtZB3Ri2,5879,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3997,"New York, NY"
"""The voice of your vote is the greatest voice we have."" —@NyleDiMarcohttps://t.co/tTgeqxNqYm https://t.co/X3oqEoOYsU",13740,20-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6042,"New York, NY"
Trump’s calls to torture and mistreat prisoners go against the very values we are fighting to defend. We’re better than this.,8992,20-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3060,"New York, NY"
Another unarmed Black man was shot in a police incident. This should be intolerable. We have so much work to do. #TerenceCrutcher -H,24318,20-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,11710,"New York, NY"
"Have student debt? Planning for college?See how much money Hillary's plan would save you:https://t.co/fiXgr6S3Ye https://t.co/B8PCks6yXL",3683,21-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,1715,"New York, NY"
"We need to come together to turn the tide, stop violence, build trust, and give all our kids the chance to grow up safe and healthy.",1393,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,683,"New York, NY"
